ID_cannot_be_submitted,attribute,value_de_DE,value_cs_CZ,value_en_US,value_sk_SK,value_pl_pl,value_fr_fr,value_it_it,multilanguage,title_de_DE
3999406,grape_variety,Cerasuolo d'Abruzzo,Cerasuolo d'Abruzzo,Cerasuolo d'Abruzzo,Cerasuolo d'Abruzzo,,Cerasuolo D’abruzzo,Cerasuolo d'Abruzzo,1,Rebsorte
1393359,grape_variety,"Camarate, Castelão, Graciano","Camarate, Castelão, Graciano","Camarate, Castelão, Graciano","Camarate, Castelão, Graciano",,"Camarate, Castelão, Graciano","Camarate, Castelão, Graciano",1,Rebsorte
1393791,grape_variety,"Caladoc, Alicante Bouschet, Cabernet Sauvignon, Castelão, Syrah, Tempranillo, Touriga Nacional","Caladoc, Alicante Bouschet, Cabernet Sauvignon, Castelão, Syrah, Tempranillo, Touriga Nacional","Caladoc, Alicante Bouschet, Cabernet Sauvignon, Castelão, Syrah, Tempranillo, Touriga Nacional","Caladoc, Alicante Bouschet, Cabernet Sauvignon, Castelão, Syrah, Tempranillo, Touriga Nacional",,"Caladoc, Alicante Bouschet, Cabernet Sauvignon, Castelão, Syrah, Tempranillo, Touriga Nacional","Caladoc, Alicante Bouschet, Cabernet Sauvignon, Castelão, Syrah, Tempranillo, Touriga Nacional",1,Rebsorte
1393579,grape_variety,"Merlot, Cabernet Franc, Malbec","Merlot, Cabernet Franc, Malbec","Merlot, Cabernet Franc, Malbec","Merlot, Cabernet Franc, Malbec",,"Merlot, Cabernet Franc, Malbec","Merlot, Cabernet Franc, Malbec",1,Rebsorte
1385518,grape_variety,Macabeo Chardonnay,Macabeo Chardonnay,Macabeo Chardonnay,Macabeo Chardonnay,,"Macabeu, Chardonnay",Macabeo Chardonnay,1,Rebsorte
3976897,grape_variety,Monica Nera,Monica Nera,Monica Nera,Monica Nera,,Monica Nera,Monica Nera,1,Rebsorte
1393748,grape_variety,"Carignan, Mourvèdre, Syrah","Carignan, Mourvèdre, Syrah","Carignan, Mourvèdre, Syrah","Carignan, Mourvèdre, Syrah",,"Carignan, Mourvèdre, Syrah","Carignan, Mourvèdre, Syrah",1,Rebsorte
1392931,grape_variety,"Saperavi, Cabernet Sauvignon","Saperavi, Cabernet Sauvignon","Saperavi, Cabernet Sauvignon","Saperavi, Cabernet Sauvignon",,"Saperavi, Cabernet Sauvignon","Saperavi, Cabernet Sauvignon",1,Rebsorte
1392975,grape_variety,"Monastrell, Syrah","Monastrell, Syrah","Monastrell, Syrah","Monastrell, Syrah",,"Monastrell, Syrah","Monastrell, Syrah",1,Rebsorte
3960421,grape_variety,Blauer Zweigelt,Zweigeltrebe,Blauer Zweigelt,Modrý Zweigelt,,Zweigelt Bleu,Blauer Zweigelt,1,Rebsorte
3963274,grape_variety,Cesanese,Cesanese,Cesanese,Cesanese,,Cesanese,Cesanese,1,Rebsorte
1378554,grape_variety,Lagrein,Lagrein,Lagrein,Lagrein,,Lagrein,Lagrein,1,Rebsorte
1372136,grape_variety,Schwarzriesling,Mlynářka,Pinot Meunier,Pinot meunier,,Riesling Noir,Riesling Nero,1,Rebsorte
1392903,grape_variety,"Cabernet Franc, Cabernet Sauvignon, Merlot, Petit Verdot","Cabernet Franc, Cabernet Sauvignon, Merlot, Petit Verdot","Cabernet Franc, Cabernet Sauvignon, Merlot, Petit Verdot","Cabernet Franc, Cabernet Sauvignon, Merlot, Petit Verdot",,"Cabernet Franc, Cabernet Sauvignon, Merlot, Petit Verdot","Cabernet Franc, Cabernet Sauvignon, Merlot, Petit Verdot",1,Rebsorte
1393155,grape_variety,"Garnacha, Tempranillo","Garnacha, Tempranillo","Garnacha, Tempranillo","Garnacha, Tempranillo",,"Garnacha, Tempranillo","Garnacha, Tempranillo",1,Rebsorte
1393264,grape_variety,"Dornfelder, Lemberger","Dornfelder, Lemberger","Dornfelder, Lemberger","Dornfelder, Lemberger",,"Dornfelder, Lemberger","Dornfelder, Lemberger",1,Rebsorte
4066014,grape_variety,Torbato (100%),Torbato (100%),Torbato (100%),Torbato (100 %),,Torbato (100 %),Torbato (100%),1,Rebsorte
1393784,grape_variety,Rosenmuskateller,Muškát červený,Rose Muscatel,Ružový muškát,,Muscat Rose,Moscato Rosa,1,Rebsorte
1393023,grape_variety,"Corvina, Oseleta, Rondinella","Corvina, Oseleta, Rondinella","Corvina, Oseleta, Rondinella","Corvina, Oseleta, Rondinella",,"Corvina, Oseleta, Rondinella","Corvina, Oseleta, Rondinella",1,Rebsorte
1393477,grape_variety,Viognier,Viognier,Viognier,Viognier,,Viognier,Viognier,1,Rebsorte
1393088,grape_variety,"Chardonnay, Semillon","Chardonnay, Semillon","Chardonnay, Semillon","Chardonnay, Semillon",,"Chardonnay, Sémillon","Chardonnay, Sémillon",1,Rebsorte
59548,graphic_card_slot,USB,,,,,,,0,Steckplatz
59538,graphic_card_slot,PCIe 3.0,,,,,,,0,Steckplatz
59539,graphic_card_slot,PCIe 2.1,,,,,,,0,Steckplatz
10682789,graphic_card_slot,PCIe 4.0,,,,,,,0,Steckplatz
59550,graphic_card_slot,DisplayPort,,,,,,,0,Steckplatz
792564,graphic_card_slot,VGA,,,,,,,0,Steckplatz
59537,graphic_card_slot,PCIe 2.0,,,,,,,0,Steckplatz
10682790,graphic_card_slot,PCIe 5.0,,,,,,,0,Steckplatz
59551,graphic_card_slot,USB 3.0,,,,,,,0,Steckplatz
441,grill_type,Tischgrills,Stolní grily,Table-top barbecues,Stolné grily,Grill stołowy,Barbecues de table,Grill da tavolo,1,Grilltyp
447,grill_type,Smoker,Udírny,Smokers,Grily na drevené uhlie,Grill typu Smoker,Fumoir,Affumicatore,1,Grilltyp
451,grill_type,Trichtergrills,Trychtýřové grily,Funnel barbecues,Lievikové grily,Grill lejkowy,Barbecues entonnoir,Barbecue a imbuto,1,Grilltyp
442,grill_type,Standgrills,Stojící grily,Free-standing barbecues,Stojace grily,Grill stojący,Barbecues sur pieds,Barbecue con supporto,1,Grilltyp
387119,grill_type,Kontaktgrills,Kontaktní grily,Contact barbecues,Kontaktné grily,Grill kontaktowy,Grill multifonction,Griglie elettriche,1,Grilltyp
387117,grill_type,Lavasteingrills,Lávové grily,Lava stone barbecues,Grily na lávové kamene,Grill z kamieniami lawowymi,Barbecues à pierres de lave,Griglie con pietra lavica,1,Grilltyp
448,grill_type,Eimergrills,Grily ve tvaru vědra,Bucket barbecues,Vedrové grily,Grill kubełkowy,Barbecues seaux,Grill a secchiello,1,Grilltyp
444,grill_type,Säulengrills,Sloupové grily,Pedestal barbecues,Stĺpové grily,Grill kolumnowy,Barbecues à colonne,Barbecue a colonna,1,Grilltyp
450,grill_type,Schwenkgrills,Otočné grily,Swing barbecues,Otočné grily,Grill wiszący,Barbecues suspendus,Griglie a sospensione,1,Grilltyp
446,grill_type,Grillwagen,Grilovací vozíky,Barbecue carts,Grilovacie vozíky,Wózek grillowy,Barbecues roulants,Carrelli per barbecue,1,Grilltyp
445,grill_type,Campinggrills,Kempingové grily,Camping barbecues,Kempingové grily,Grill kempingowy,Barbecues de camping,Grill da campeggio,1,Grilltyp
443,grill_type,Kugelgrills,Kulaté grily,Kettle barbecues,Guľové grily,Grill kulisty,Barbecues ronds,Barbecue Kettle,1,Grilltyp
950,grip_strength,L4,,,,,,,0,Griffstärke
1457209,grip_strength,L0,,,,,,,0,Griffstärke
947,grip_strength,L1,,,,,,,0,Griffstärke
948,grip_strength,L2,,,,,,,0,Griffstärke
952,grip_strength,L6,,,,,,,0,Griffstärke
951,grip_strength,L5,,,,,,,0,Griffstärke
949,grip_strength,L3,,,,,,,0,Griffstärke
953,grip_strength,L7,,,,,,,0,Griffstärke
5718554,hair_colour,Pink,Křiklavě růžová,Pink,Ružová,Różowy,Rose,Rosa fucsia,1,Haarfarbe
5718552,hair_colour,Orange,Oranžová,Orange,Oranžová,Pomarańczowy,Orange,Arancione,1,Haarfarbe
5718549,hair_colour,Lila,Lila,Purple,Fialová,Liliowy,Lilas,Lilla,1,Haarfarbe
5718553,hair_colour,Schwarz,Černá,Black,Čierna,Czarny,Noir,Nero,1,Haarfarbe
5718547,hair_colour,Aschblond,Popelavě blond,Ash blond,Popolavá blond,Popielaty blond,Blond cendré,Biondo cenere,1,Haarfarbe
5718551,hair_colour,Blau,Modrá,Blue,Modrá,Niebieski,Bleu,Blu,1,Haarfarbe
5718540,hair_colour,Rot,Červená,Red,Červená,Czerwony,Rouge,Rosso,1,Haarfarbe
5718548,hair_colour,Dunkelblond,Tmavě blond,Dark blond,Tmavá blond,Ciemny blond,Blond foncé,Biondo scuro,1,Haarfarbe
5718555,hair_colour,Grün,Zelená,Green,Zelená,Zielony,Vert,Verde,1,Haarfarbe
5718539,hair_colour,Kupfer,Měděná,Copper,Medená,Miedziany,Cuivre,Rame,1,Haarfarbe
5718541,hair_colour,Braun,Hnědá,Brown,Hnedá,Brązowy,Brun,Marrone,1,Haarfarbe
5718543,hair_colour,Dunkelbraun,Tmavě hnědá,Dark brown,Tmavohnedá,Ciemnobrązowy,Brun foncé,Marrone scuro,1,Haarfarbe
5718556,hair_colour,Rosa,Světle růžová,Pink,Ružová,Różowy,Rose,Rosa,1,Haarfarbe
5718546,hair_colour,Blond,Blond,Blond,Blond,Blond,Blond,Biondo,1,Haarfarbe
5718550,hair_colour,Grau,Šedá,Grey,Šedá,Szary,Gris,Grigio,1,Haarfarbe
5718544,hair_colour,Mahagoni,Mahagon,Mahogany,Mahagónová,Mahoń,Acajou,Mogano,1,Haarfarbe
5718542,hair_colour,Hellbraun,Světle hnědá,Light brown,Svetlohnedá,Jasnobrązowy,Brun clair,Marrone chiaro,1,Haarfarbe
5718545,hair_colour,Kastanienbraun,Kaštanově hnědá,Chestnut brown,Gaštanovo hnedá,Kasztanowy,Châtaigne,Marrone castagna,1,Haarfarbe
2815291,hard_drive_type,HDD,,,,,,,0,Festplatten Typ
2815290,hard_drive_type,SSD,,,,,,,0,Festplatten Typ
2181,harddisk_form_factor,5.25,,,,,,,0,Formfaktor
2178,harddisk_form_factor,1.8,,,,,,,0,Formfaktor
792536,harddisk_form_factor,1.0,,,,,,,0,Formfaktor
2179,harddisk_form_factor,2.5,,,,,,,0,Formfaktor
2180,harddisk_form_factor,3.5,,,,,,,0,Formfaktor
6916557,hat_size,3XL,,,,,,,0,Hutgröße
1129,hat_size,61,,,,,,,0,Hutgröße
1125,hat_size,57,,,,,,,0,Hutgröße
1127,hat_size,59,,,,,,,0,Hutgröße
1122,hat_size,54,,,,,,,0,Hutgröße
1123,hat_size,55,,,,,,,0,Hutgröße
1134,hat_size,M,,,,,,,0,Hutgröße
1120,hat_size,52,,,,,,,0,Hutgröße
1132,hat_size,Einheitsgröße,Velikost jednotky,Standard size,Jednotná veľkosť,Standard size,Taille unique,Taglia unica,0,Hutgröße
8982283,hat_size,S/M,,,,,,,0,Hutgröße
1126,hat_size,58,,,,,,,0,Hutgröße
6916556,hat_size,XXL,,,,,,,0,Hutgröße
1135,hat_size,L,,,,,,,0,Hutgröße
8982284,hat_size,L/XL,,,,,,,0,Hutgröße
1124,hat_size,56,,,,,,,0,Hutgröße
1131,hat_size,63,,,,,,,0,Hutgröße
1128,hat_size,60,,,,,,,0,Hutgröße
1133,hat_size,S,,,,,,,0,Hutgröße
1121,hat_size,53,,,,,,,0,Hutgröße
6916554,hat_size,XXS,,,,,,,0,Hutgröße
1136,hat_size,XL,,,,,,,0,Hutgröße
6916555,hat_size,XS,,,,,,,0,Hutgröße
1130,hat_size,62,,,,,,,0,Hutgröße
1388958,hazard_statements,P305 + P351 + P338 – BEI KONTAKT MIT DEN AUGEN: Einige Minuten lang behutsam mit Wasser spülen. Vorhandene Kontaktlinsen nach Möglichkeit entfernen. Weiter spülen.,"P305 + P351 + P338 – PŘI ZASAŽENÍ OČÍ: Několik minut opatrně vyplachujte vodou. Vyjměte kontaktní čočky, jsou-li nasazeny a pokud je lze vyjmout snadno. Pokračujte ve vyplachování.",P305 + P351 + P338 – IF IN EYES Rinse cautiously with water for several minutes. Remove contact lenses if present and easy to do. Continue rinsing.,"P305 + P351 + P338 PO ZASIAHNUTÍ OČÍ: Niekoľko minút ich opatrne vyplachujte vodou. Ak používate kontaktné šošovky a je to možné, odstráňte ich. Pokračujte vo vyplachovaní.","P305 + P351 + P338: W PRZYPADKU DOSTANIA SIĘ DO OCZU: Ostrożnie płukać wodą przez kilka minut. Wyjąć soczewki kontaktowe, jeżeli są i można je łatwo usunąć. Nadal płukać.",P305 + P351 + P338 - EN CAS DE CONTACT AVEC LES YEUX : rincer avec précaution à l’eau pendant plusieurs minutes. Enlever les lentilles de contact si la victime en porte et si elles peuvent être facilement enlevées. Continuer à rincer.,P305 + P351 + P338 - IN CASO DI CONTATTO CON GLI OCCHI: sciacquare accuratamente con acqua per parecchi minuti. Togliere eventuali lenti a contatto se è agevole farlo. Continuare a sciacquare.,1,Gefahrenhinweise
1412348,hazard_statements,EUH 001 In trockenem Zustand explosiv,EUH 001 Výbušný v suchém stavu,EUH 001 Explosive when dry,EUH001 V suchom stave výbušný.,EUH 001: Produkt wybuchowy w stanie suchym.,EUH 001 Explosif à l’état sec,EUH 001 Esplosivo allo stato secco,1,Gefahrenhinweise
1369848,hazard_statements,H301 + H311 Giftig bei Verschlucken oder Hautkontakt,H301 + H311 Toxický při požití a při styku s kůží.,H301 + H311 Toxic if swallowed or in contact with skin,H301 + H311 Toxický pri požití a pri styku s kožou.,H301 + H311: Działa toksycznie po połknięciu lub w kontakcie ze skórą.,H301 + H311 Toxique en cas d’ingestion ou par contact cutané.,H301 + H311 Tossico in caso di ingestione o contatto con la pelle,1,Gefahrenhinweise
1369913,hazard_statements,H360Df Kann das Kind im Mutterleib schädigen. Kann vermutlich die Fruchtbarkeit beeinträchtigen.,H360Df Může poškodit plod v těle matky. Podezření na poškození reprodukční schopnosti.,H360Df May damage the unborn child. Suspected of damaging fertility.,H360Df Môže poškodiť nenarodené dieťa. Podozrenie z poškodzovania plodnosti.,"H360Df: Może działać szkodliwie na dziecko w łonie matki. Podejrzewa się, że działa szkodliwie na płodność.",H360Df Peut nuire au fœtus. Susceptible de nuire à la fertilité.,H360Df Può nuocere al feto. Sospettato di nuocere alla fertilità.,1,Gefahrenhinweise
1412367,hazard_statements,EUH 208 Enthält (Name des sensibilisierenden Stoffes). Kann allergische Reaktionen hervorrufen,EUH 208 Obsahuje (název senzibilizující látky). Může vyvolat alergickou reakci.,EUH 208 Contains (name of sensitizing substance). May produce an allergic reaction.,EUH208 Obsahuje <názov senzibilizujúcej látky>. Môže vyvolať alergickú reakciu.,EUH 208: Zawiera (nazwa substancji uczulającej). Może powodować reakcje alergiczne.,EUH 208 Contient (nom de la substance sensibilisante). Peut produire une réaction allergique.,EUH 208 Contiene (denominazione della sostanza sensibilizzante). Può provocare reazioni allergiche,1,Gefahrenhinweise
1369739,hazard_statements,EUH059 Die Ozonschicht schädigend.,EUH059 Nebezpečný pro ozonovou vrstvu.,EUH059 Hazardous to the ozone layer.,EUH059 Nebezpečný pre ozónovú vrstvu.,EUH 059: Zubażanie warstwy ozonowej.,EUH059 Dangereux pour la couche d’ozone.,EUH059 Pericoloso per lo strato di ozono.,1,Gefahrenhinweise
1369750,hazard_statements,Enthält Chrom (VI). Kann allergische Reaktionen hervorrufen.,Obsahuje chrom (VI). Může vyvolat alergickou reakci.,Contains chromium (VI). May produce an allergic reaction.,EUH203 Obsahuje chróm (VI). Môže vyvolať alergickú reakciu.,Zawiera chrom (VI). Może powodować reakcje alergiczne.,Contient du chrome (VI). Peut produire une réaction allergique.,Contiene cromo (VI). Può provocare reazioni allergiche.,1,Gefahrenhinweise
1369919,hazard_statements,H361f Kann vermutlich die Fruchtbarkeit beeinträchtigen.,H361f Podezření na poškození reprodukční schopnosti.,H361f Suspected of damaging fertility.,H361f Podozrenie z poškodzovania plodnosti.,"H361f: Podejrzewa się, że działa szkodliwie na płodność.",H361f Susceptible de nuire à la fertilité.,H361f Sospettato di nuocere alla fertilità.,1,Gefahrenhinweise
1369883,hazard_statements,H315 Verursacht Hautreizungen.,H315 Způsobuje podráždění kůže.,H315 Causes skin irritation.,H315 Dráždi kožu.,H315: Działa drażniąco na skórę.,H315 Provoque une irritation cutanée.,H315 Provoca irritazioni cutanee.,1,Gefahrenhinweise
1369855,hazard_statements,H301 Giftig bei Verschlucken.,H301 Toxický při požití.,H301 Toxic if swallowed,H301 Toxický po požití.,H301: Działa toksycznie po połknięciu.,H301 Toxique en cas d’ingestion.,H301 Tossico se ingerito.,1,Gefahrenhinweise
1369811,hazard_statements,H229 Behälter steht unter Druck: Kann bei Erwärmung bersten.,H229 Nádoba je pod tlakem: Při zahřívání se může roztrhnout.,H229 Pressurized container: may burst if heated.,H229 Tlaková nádoba: pri zahriatí môže vybuchnúť.,H229: Pojemnik pod ciśnieniem: Ogrzanie grozi wybuchem.,H229 Récipient sous pression : peut éclater sous l’effet de la chaleur.,H229 Contenitore pressurizzato: può esplodere se riscaldato.,1,Gefahrenhinweise
1369835,hazard_statements,H290 Kann gegenüber Metallen korrosiv sein.,H290 Může být korozivní pro kovy.,H290 May be corrosive to metals.,H290 Môže byť korozívna pre kovy.,H290: Może powodować korozję metali.,H290 Peut être corrosif pour les métaux.,H290 Può essere corrosivo per i metalli.,1,Gefahrenhinweise
1369897,hazard_statements,H333 Kann bei Einatmen gesundheitsschädlich sein.,H333 Při vdechnutí může být škodlivý pro zdraví.,H333 May be harmful if inhaled.,H333 Môže byť škodlivý pri vdýchnutí.,H333: Może działać szkodliwie w następstwie wdychania.,H333 Peut être nocif par inhalation.,H333 Può essere nocivo se inalato.,1,Gefahrenhinweise
1369793,hazard_statements,"H204 Gefahr durch Feuer oder Splitter, Spreng- und Wurfstücke.",H204 Nebezpečí požáru nebo zasažení částicemi.,H204 Fire or projection hazard,H204 Nebezpečenstvo požiaru alebo rozletenia úlomkov.,H204: Zagrożenie pożarem lub rozrzutem.,H204 Danger d’incendie ou de projection.,H204 Pericolo di incendio o di proiezione.,1,Gefahrenhinweise
1369830,hazard_statements,H271 Kann Brand oder Explosion verursachen; starkes Oxidationsmittel.,H271 Může způsobit požár nebo výbuch; silný oxidant.,H271 May cause fire or explosion; strong oxidizer.,H271 Môže spôsobiť požiar alebo výbuch; silné oxidačné činidlo.,H271: Może spowodować pożar lub wybuch; silny utleniacz.,H271 Peut provoquer un incendie ou une explosion ; comburant puissant.,H271 Può provocare incendi o esplosioni; molto comburente.,1,Gefahrenhinweise
1369828,hazard_statements,H261 In Berührung mit Wasser entstehen entzündbare Gase.,H261 Při styku s vodou uvolňuje hořlavé plyny.,H261 In contact with water releases flammable gas.,H261 Pri kontakte s vodou uvoľňuje horľavé plyny.,H261: W kontakcie z wodą uwalnia łatwopalne gazy.,H261 Dégage au contact de l’eau des gaz inflammables.,H261 Il contatto con l'acqua libera gas infiammabili.,1,Gefahrenhinweise
1369876,hazard_statements,H311 Giftig bei Hautkontakt.,H311 Toxický při styku s kůží.,H311 Toxic in contact with skin,H311 Toxický pri kontakte s pokožkou.,H311: Działa toksycznie w kontakcie ze skórą.,H311 Toxique par contact cutané.,H311 Tossico in caso di contatto con la pelle.,1,Gefahrenhinweise
1369873,hazard_statements,H310 Lebensgefahr bei Hautkontakt.,H310 Při styku s kůží může způsobit smrt.,H310 Fatal in contact with skin.,H310 Smrteľný pri kontakte s pokožkou.,H310: Grozi śmiercią w kontakcie ze skórą.,H310 Mortel par contact cutané.,H310 Potenzialmente letale in caso di contatto con la pelle.,1,Gefahrenhinweise
1369930,hazard_statements,"H411 Giftig für Wasserorganismen, mit langfristiger Wirkung.","H411 Toxický pro vodní organismy, s dlouhodobými účinky.",H411 Toxic to aquatic life with long-lasting effects.,"H411 Toxický pre vodné organizmy, s dlhodobými účinkami.","H411: ​Działa toksycznie na organizmy wodne, powodując długotrwałe skutki.","H411 Toxique pour les organismes aquatiques, entraîne des effets à long terme.",H411 Tossico per gli organismi acquatici con effetti di lunga durata.,1,Gefahrenhinweise
1369824,hazard_statements,H251 Selbsterhitzungsfähig; kann in Brand geraten.,H251 Samovolně se zahřívá: může se vznítit.,H251 Self-heating; may catch fire.,H251 Samovoľne sa zahrieva; môže sa vznietiť.,H251: Substancja samonagrzewająca się; może się zapalić.,H251 Matière auto-échauffante ; peut s’enflammer.,H251 Autoriscaldante; può infiammarsi.,1,Gefahrenhinweise
1453817,hazard_statements,H225: Flüssigkeit und Dampf leicht entzündbar. H319: Verursacht schwere Augenreizung. H336: Kann Schläfrigkeit und Benommenheit verursachen.,H225: Vysoce hořlavá kapalina a páry. H319: Způsobuje vážné podráždění očí. H336: Může způsobit ospalost nebo závratě.,H225: Highly flammable liquid and vapour. H319: Causes serious eye irritation. H336: May cause drowsiness or dizziness.,H225 Veľmi horľavá kvapalina a pary. H319 Spôsobuje vážne podráždenie očí. H336 Môže spôsobiť ospalosť alebo závraty.,H225: Wysoce łatwopalna ciecz i pary. H319: Działa drażniąco na oczy. H336: Może wywoływać uczucie senności lub zawroty głowy.,H225 : liquide et vapeurs très inflammables. H319 : provoque une sévère irritation des yeux. H336 : peut provoquer somnolence ou vertiges.,H225: liquido e vapore facilmente infiammabili. H319: provoca grave irritazione oculare. H336: può provocare sonnolenza e vertigini.,1,Gefahrenhinweise
1369798,hazard_statements,H221 Entzündbares Gas.,H221 Hořlavý plyn.,H221 Flammable gas,H221 Horľavý plyn.,H221: Gaz łatwopalny.,H221 Gaz inflammable.,H221 Gas infiammabile.,1,Gefahrenhinweise
1369910,hazard_statements,H351 Kann vermutlich Krebs erzeugen.,H351 Podezření na vyvolání rakoviny.,H351 Suspected of causing cancer.,"H351 Podozrenie, že spôsobuje rakovinu.","H351: Podejrzewa się, że powoduje raka.",H351 Susceptible de causer un cancer.,H351 Sospettato di provocare il cancro.,1,Gefahrenhinweise
1369921,hazard_statements,H362 Kann Säuglinge über die Muttermilch schädigen.,H362 Může poškodit kojence prostřednictvím mateřského mléka.,H362 May cause harm to breast-fed children.,H362 Môže spôsobiť poškodenie u dojčených detí.,H362: Może działać szkodliwie na dzieci karmione piersią.,H362 Peut être nocif pour les bébés nourris au lait maternel.,H362 Può nuocere ai lattanti allattati al seno.,1,Gefahrenhinweise
1369837,hazard_statements,H300 Lebensgefahr bei Verschlucken.,H300 Při požití může způsobit smrt.,H300 Fatal if swallowed.,H300 Smrteľný po požití.,H300: Połknięcie grozi śmiercią.,H300 Mortel en cas d’ingestion.,H300 Pericolo di morte in caso di ingestione.,1,Gefahrenhinweise
1369790,hazard_statements,"H202 Explosiv; große Gefahr durch Splitter, Spreng- und Wurfstücke.",H202 Výbušnina; vážné nebezpečí zasažení částicemi.,H202 Explosive; severe projection hazard.,"H202 Výbušnina, závažné nebezpečenstvo rozletenia úlomkov.",H202: Materiał wybuchowy; poważne zagrożenie rozrzutem.,H202 Explosif ; danger sérieux de projection.,H202 Esplosivo; grave pericolo di proiezione.,1,Gefahrenhinweise
1369829,hazard_statements,H270 Kann Brand verursachen oder verstärken; Oxidationsmittel.,H270 Může způsobit nebo zesílit požár; oxidant.,H270 May cause or intensify fire; oxidizer.,H270 Môže spôsobiť alebo prispieť k rozvoju požiaru; oxidačné činidlo.,H270: Może spowodować lub intensyfikować pożar; utleniacz.,H270 Peut provoquer ou aggraver un incendie ; comburant.,H270 Può provocare o aggravare un incendio; comburente.,1,Gefahrenhinweise
1369822,hazard_statements,H250 Entzündet sich in Berührung mit Luft von selbst.,H250 Při styku se vzduchem se samovolně vznítí.,H250 Catches fire spontaneously if exposed to air.,H250 Pri kontakte so vzduchuom sa spontánne vznieti.,H250: Zapala się samorzutnie w przypadku wystawienia na działanie powietrza.,H250 S’enflamme spontanément au contact de l’air.,H250 Spontaneamente infiammabile a contatto con l'aria.,1,Gefahrenhinweise
1369791,hazard_statements,"Explosiv; Gefahr durch Feuer, Luftdruck oder Splitter, Spreng- und Wurfstücke.","Výbušnina; nebezpečí požáru, tlakové vlny nebo zasažení částicemi.","Explosive; fire, air pressure or projection hazard.","H203 Výbušnina, nebezpečenstvo požiaru, výbuchu alebo rozletenia úlomkov.","Materiał wybuchowy; zagrożenie pożarem, ciśnieniem powietrza lub odłamkami, materiałami wybuchowymi i rozrzutem.","Explosif : danger d’incendie, d’effet de souffle ou de projection.","Esplosivo; pericolo di incendio, di spostamento d'aria o di proiezione.",1,Gefahrenhinweise
1369893,hazard_statements,H330 Lebensgefahr bei Einatmen.,H330 Při vdechování může způsobit smrt.,H330 Fatal if inhaled.,H330 Smrteľný pri vdýchnutí.,H330: Wdychanie grozi śmiercią.,H330 Mortel par inhalation.,H330 Letale se inalato.,1,Gefahrenhinweise
1369920,hazard_statements,H361fd Kann vermutlich die Fruchtbarkeit beeinträchtigen. Kann vermutlich das Kind im Mutterleib schädigen.,H361fd Podezření na poškození reprodukční schopnosti. Podezření na poškození plodu v těle matky.,H361fd Suspected of damaging fertility. Suspected of damaging the unborn child.,H361fd Podozrenie z poškodzovania plodnosti. Podozrenie z poškodzovania nenarodeného dieťaťa.,"H361fd: Podejrzewa się, że działa szkodliwie na płodność. Podejrzewa się, że działa szkodliwie na dziecko w łonie matki.",H361fd Susceptible de nuire à la fertilité. Susceptible de nuire au fœtus.,H361fd Sospettato di nuocere alla fertilità. Sospettato di nuocere al feto.,1,Gefahrenhinweise
1412359,hazard_statements,EUH 070 Giftig bei Berührung mit den Augen,EUH 070 Toxický při styku s očima.,EUH 070 Toxic by eye contact.,EUH070 Toxické pri kontakte s očami.,EUH 070: Działa toksycznie w kontakcie z oczami.,EUH 070 Toxique par contact oculaire.,EUH 070 Tossico a contatto con gli occhi,1,Gefahrenhinweise
1369880,hazard_statements,H313 Kann bei Berührung mit der Haut gesundheitsschädlich sein.,H313 Může být zdraví škodlivý při styku s kůží.,H313 May be harmful in contact with skin.,H313 Pri kontakte s pokožkou môže byť škodlivý.,H313: Może działać szkodliwie w kontakcie ze skórą.,H313 Peut être nocif par contact cutané.,H313 Può essere nocivo a contatto con la pelle.,1,Gefahrenhinweise
1369890,hazard_statements,H319 Verursacht schwere Augenreizung.,H319 Způsobuje vážné podráždění očí.,H319 Causes serious eye irritation.,H319 Spôsobuje vážne podráždenie očí.,H319: Działa drażniąco na oczy.,H319 Provoque une sévère irritation des yeux.,H319 Provoca grave irritazione oculare.,1,Gefahrenhinweise
8876963,hazard_statements,H315 + H320 Verursacht Haut- und Augenreizungen.,,,,,,,1,Gefahrenhinweise
1369727,hazard_statements,Mit und ohne Luft explosionsfähig.,Výbušný za přístupu i bez přístupu vzduchu.,Explosive with or without contact with air.,EUH006 Výbušné pri kontakte alebo bez kontaktu so vzduchom.,Wybuchowy z dostępem lub bez dostępu powietrza.,Danger d’explosion en contact ou sans contact avec l’air.,Esplosivo a contatto o senza contatto con l’aria.,1,Gefahrenhinweise
1412353,hazard_statements,EUH 029 Entwickelt bei Berührung mit Wasser giftige Gase,EUH 029 Uvolňuje toxický plyn při styku s vodou.,EUH 029 Contact with water liberates toxic gas.,EUH029 Pri kontakte s vodou uvoľňuje toxický plyn.,EUH 029: W kontakcie z wodą uwalnia toksyczne gazy.,"EUH 029 Au contact de l’eau, dégage des gaz toxiques.",EUH 029 Libera gas tossici a contatto con l’acqua,1,Gefahrenhinweise
