Titel,Brand,Kategorie,SKU,Barcode (EAN/GTIN),Highlights,Description,Attributes,Price,BIN,Quantity
GREELUE Aufbewahrungskörbe 3er Set – Stapelbar für perfekte Ordnung,GREELUE,Möbel & Wohnen > Möbel > Regale & Aufbewahrung,SKU-3190070125,4262409580118,"Effiziente Ordnung: 3er-Set für systematische Organisation im ganzen Haus | Stapelbares Design: Spart Platz und maximiert den Stauraum | Robuster PP-Kunststoff: Langlebig, widerstandsfähig und leicht zu reinigen | Optimale Luftzirkulation: Perforiertes Design ideal für Textilien und Badartikel | Vielseitig einsetzbar: Perfekt für Kleidung, Spielzeug, Badutensilien und mehr | Modernes Design: Fügt sich nahtlos in jede Einrichtung ein","Verwandeln Sie Ihr Zuhause in eine Oase der Ordnung mit den GREELUE SNK3T-WH Aufbewahrungskörben. Dieses praktische 3er-Set bietet eine effiziente Lösung, um Gegenstände in jedem Raum systematisch zu organisieren und Unordnung zu beseitigen.Gefertigt aus robustem und langlebigem PP-Kunststoff, garantieren diese Körbe hohe Widerstandsfähigkeit und sind kinderleicht zu reinigen. Das innovative perforierte Design sichert zudem eine optimale Luftzirkulation, ideal für Textilien oder Badutensilien.Im Lieferumfang sind drei stapelbare Aufbewahrungskörbe enthalten, die vielseitige Organisationsmöglichkeiten für Kleidung, Spielzeug oder Badutensilien bieten. Profitieren Sie von einer maßgeschneiderten Aufbewahrungslösung, die sich nahtlos in jede moderne Einrichtung einfügt und maximalen Nutzen verspricht.","{""Anzahl der Einheiten"":""3"",""Besonderheiten"":""Stapelbar"",""Breite"":""34.5 cm"",""Farbe"":""Weiß"",""Form"":""Rechteckig"",""GPSR Manufacturer name"":""GREELUE"",""Herstellernummer"":""SNK3T-WH"",""Höhe"":""44 cm"",""Kategorie"":""Möbel & Wohnen > Möbel > Regale & Aufbewahrung"",""Länge"":""12 cm"",""Marke"":""GREELUE"",""Material"":""PP"",""Modell"":""SNK3T-WH"",""Produktart"":""Aufbewahrungskorb"",""Zimmer"":""Badezimmer, Schlafzimmer, Waschküche, Kinderzimmer, Wohnzimmer""}",10.99 EUR,,0
Beautex Jersey Spannbettlaken 90x200cm Dunkelbraun für Boxspringbetten,Beautex,"Möbel & Wohnen > Bettwaren, -wäsche & Matratzen > Bettwäsche",SKU-3210037840,4058473411560,"Perfekte Passform für Boxspringbetten bis 45 cm Steghöhe. | Luxuriöser Schlafkomfort dank 100% gekämmter Baumwolle 160 g/m². | Extrem strapazierfähig und formbeständig dank Premium Jersey-Qualität. | OEKO-TEX STANDARD 100 zertifiziert für schadstofffreien, hautsympathischen Schlaf. | Müheloses Aufziehen und faltenfreier Sitz durch umlaufenden Gummizug. | Pflegeleicht und formstabil, behält Qualität auch nach vielen Wäschen.","Das Beautex Jersey Spannbettlaken bietet unvergleichlichen Schlafkomfort und ist speziell für Boxspringbetten sowie hohe Matratzen bis 45 cm Steghöhe konzipiert. Es sorgt für einen makellosen, faltenfreien Sitz und verwandelt Ihr Schlafzimmer in eine Oase der Ruhe und Eleganz.Gefertigt aus 100% gekämmter Baumwolle mit einem Flächengewicht von 160 g/m² garantiert dieses Laken ein außergewöhnlich weiches und hautsympathisches Gefühl. Die hochwertige Jersey-Qualität sichert zudem eine hohe Strapazierfähigkeit und Formbeständigkeit, selbst nach vielen Wäschen.Dieses Spannbettlaken in elegantem Dunkelbraun für Matratzen der Größe 90x200 cm lässt sich dank des umlaufenden Gummizugs mühelos aufziehen und sitzt stets perfekt. Die OEKO-TEX STANDARD 100 Zertifizierung bestätigt die schadstofffreie Qualität, während die Maschinenwaschbarkeit die Pflege zum Kinderspiel macht.","{""Abteilung"":""Erwachsene"",""Anzahl der Einheiten"":""1"",""Besonderheiten"":""Für Boxspringbetten"",""Einheitentyp"":""Einheit"",""Farbe"":""Dunkelbraun"",""Flächengewicht"":""160 g/m²"",""Gewebeart"":""Jersey"",""GPSR Manufacturer name"":""Beautex"",""Größe"":""90x200 cm"",""Herstellungsland"":""Deutschland"",""Kategorie"":""Möbel & Wohnen > Bettwaren, -wäsche & Matratzen > Bettwäsche"",""Marke"":""Beautex"",""Material"":""100% Baumwolle"",""Matratzentyp"":""Boxspringbett"",""Muster"":""Uni"",""Pflegehinweise"":""Maschinenwäsche"",""Produktart"":""Spannbettlaken"",""Steghöhe"":""45 cm"",""Thema"":""Luxus"",""Verschlussart"":""Elastisch"",""Zertifikate"":""OEKO-TEX STANDARD 100"",""Zimmer"":""Schlafzimmer""}",13.99 EUR,XGA0201C,1
Nike Tennisschuh Zoom Vapor 12 CLY für Herren - Top Sandplatz-Performance,Nike,Sport > Weitere Ballsportarten > Tennis,SKU-3213392901,19760256779314,Hervorragende Sandplatz-Traktion für sicheren Halt bei jedem Schritt. | Leichte Konstruktion fördert maximale Agilität und schnelle Reaktionen. | Reaktionsfreudige Dämpfung bietet überragenden Komfort während langer Matches. | Robustes Obermaterial garantiert außergewöhnliche Langlebigkeit und Schutz. | Optimale Unterstützung für explosive Bewegungen und schnelle Richtungswechsel. | Dynamisches Design kombiniert Stil mit höchster sportlicher Funktionalität.,"Die Nike M Zoom Vapor 12 CLY Tennisschuhe für Herren bieten optimalen Halt und Komfort auf dem Sandplatz. Das atmungsaktive Obermaterial sorgt für ein angenehmes Tragegefühl, während die Zoom Air-Dämpfung reaktionsfreudige Schritte ermöglicht. Farbe: Black/White-Dk Smoke Grey, Größe EU 48.5 (US 14).","{""Anlass"":""Sport"",""Farbe"":""Schwarz, Weiß"",""Geschlecht"":""Herren"",""GPSR Manufacturer name"":""Nike"",""Handgefertigt"":""Nein"",""Individualisiert"":""Nein"",""Kategorie"":""Sport > Weitere Ballsportarten > Tennis"",""Marke"":""Nike"",""Modell"":""Zoom Vapor 12 CLY"",""Personalisieren"":""Nein"",""Schuhart"":""Tennisschuh"",""Schuhschafttyp"":""Low Top"",""Sohlenart"":""Sandplatz (Clay)"",""Sportart"":""Tennis"",""Vintage"":""Nein""}",109.95 EUR,XGA0302B,1
"WOLTU Standregal Weiß – Kompakt, vielseitig & platzsparend für jeden Raum",WOLTU,Möbel & Wohnen > Möbel > Regale & Aufbewahrung,SKU-3226209432,4063425163489,"Platzsparendes Design schafft wertvollen Stauraum in kleinen Räumen. | Vielseitig einsetzbar in Wohn-, Bad- oder Arbeitszimmern für Ordnung. | Offene Fächer ermöglichen schnellen Zugriff und stilvolle Dekoration. | Robuste, pflegeleichte Oberfläche garantiert langanhaltende Freude und Sauberkeit. | Modernes, zeitloses Design in Weiß fügt sich harmonisch in jede Einrichtung. | Schneller, unkomplizierter Aufbau dank klarer Anleitung und komplettem Zubehör.","Das kompakte Woltu Standregal in Weiß schafft auf kleiner Stellfläche praktischen Stauraum für Bücher, Deko und Alltagsgegenstände. Dank seines zeitlosen Designs fügt es sich harmonisch in Wohn-, Arbeits- oder Badezimmer sowie andere Räume ein.

Die offenen Fächer ermöglichen schnellen Zugriff und setzen Ihre Lieblingsstücke dekorativ in Szene. Eine robuste, pflegeleichte Oberfläche aus pflegeleichten Werkstoffen laut Herstellerangabe lässt sich bequem mit einem feuchten Tuch reinigen.

Geliefert wird das Standregal zerlegt mit passendem Montagematerial und verständlicher Aufbauanleitung für die einfache Selbstmontage. Bitte beachten Sie die Herstellerhinweise zu Montage, Belastbarkeit und Pflege, um lange Freude an Ihrem Regal zu haben.","{""Anzahl der Ablagen"":""nicht angegeben"",""Einsatzbereich"":""Wohnzimmer, Büro, Bad"",""Farbe"":""Weiß"",""Gewichtskapazität pro Ablage"":""nicht angegeben"",""GPSR Manufacturer name"":""WOLTU"",""Herstellungsland"":""nicht angegeben"",""Kategorie"":""Möbel & Wohnen > Möbel > Regale & Aufbewahrung"",""Lieferzustand"":""Zerlegt, inkl. Montagematerial"",""Marke"":""WOLTU"",""Maße (H x B x T)"":""nicht angegeben"",""Material"":""nicht angegeben"",""Modell"":""RGB46ws"",""Montage erforderlich"":""Ja"",""Montage_erforderlich"":""Ja"",""Produktart"":""Standregal"",""Zimmer"":""Wohnzimmer, Büro, Bad"",""Zustand"":""Neu""}",36.99 EUR,,0
Puma Clyde Palais Artisan Unisex Sneaker Chocotart-Frosted Ivory NEU OVP Gr. 38,PUMA,Kleidung & Accessoires > Damen > Damenschuhe,SKU-3368481451,4067983135699,"Luxuriöses Obermaterial aus hochwertigem Leder für Premium-Gefühl. | Zeitloses Design ermöglicht vielseitige Kombinationsmöglichkeiten im Alltag. | Robuste Gummisohle bietet optimalen Grip und sichere Stabilität. | Ganztägiger, angenehmer Tragekomfort bei allen Aktivitäten garantiert. | Ideal für Freizeit, Büro und entspannte Stadtbummel geeignet. | Verleiht jedem Outfit eine exklusive und stilvolle Note.","Der Puma Clyde Palais Artisan Sneaker bietet stilbewussten Damen luxuriösen Komfort und ein zeitloses Design für den Alltag. Dieser vielseitige Schuh ist die ideale Wahl für Stadtbummel, Büro oder andere Casual-Anlässe und verleiht jedem Outfit eine exklusive Note.Gefertigt aus hochwertigem Leder, überzeugt dieser Sneaker mit einer anspruchsvollen Haptik und beeindruckender Langlebigkeit. Die robuste Gummisohle gewährleistet optimalen Grip sowie Stabilität und sorgt den ganzen Tag für angenehmen Tragekomfort.Im Lieferumfang ist ein Paar Puma Clyde Palais Artisan Sneaker enthalten, bereit für Ihren stilvollen Auftritt. Für eine langanhaltende Freude an diesem Premium-Schuh wird die regelmäßige Pflege mit geeigneten Lederpflegemitteln empfohlen.","{""Absatzhöhe"":""Flach (unter 2,5 cm)"",""Abteilung"":""Unisex"",""Anlass"":""Freizeit"",""Besonderheiten"":""Komfort, Atmungsaktiv"",""EU-Schuhgröße"":""38,5"",""Farbe"":""Braun"",""Geschlecht"":""Damen"",""GPSR Manufacturer name"":""Puma"",""Handgefertigt"":""Nein"",""Herstellernummer"":""40224901"",""Jahreszeit"":""Alle Jahreszeiten"",""Kategorie"":""Kleidung & Accessoires > Damen > Damenschuhe"",""Laufsohlenmaterial"":""Gummi"",""Marke"":""PUMA"",""Modell"":""PUMA Clyde"",""Obermaterial"":""Leder"",""Passform"":""Normal"",""Personalisieren"":""Nein"",""Schuhgröße CM"":""24.5"",""Schuhgröße EU"":""38.5"",""Schuhgröße UK"":""5.5"",""Schuhgröße US"":""6.5"",""Schuhschafttyp"":""Niedrig"",""Stil"":""Sneaker"",""UK-Schuhgröße"":""5,5"",""US-Schuhgröße"":""6,5"",""Verschluss"":""Schnürung"",""Vintage"":""Nein"",""weight"":1,""Zielgruppe"":""Erwachsene""}",119.9 EUR,XGA0302A,1
Upgrade4cars X2 Sitzauflagen Universal – Optimaler Schutz für Vordersitze,,Baby > Kinderwagen & Zubehör > Kinderwagenzubehör > Sitzauflagen,SKU-3475457190,301729237,,"Die Upgrade4cars X2 Auto-Sitzauflagen schützen Ihre Vordersitze effektiv vor Schmutz, Nässe und täglicher Abnutzung. Dieses universell passende 2er Set ist ideal für den Alltag, Reisen und Outdoor-Aktivitäten, wodurch der Wert Ihres Fahrzeugs langfristig erhalten bleibt.Gefertigt aus robustem, wasserdichtem und schmutzabweisendem Oxford-Polyester, garantieren diese Schonbezüge höchste Langlebigkeit und eine mühelose Reinigung. Das strapazierfähige Material widersteht den Anforderungen des Alltags und schützt die Originalsitze Ihres Fahrzeugs dauerhaft vor Verschleiß.Die einfache und schnelle Montage ermöglicht einen sofortigen Schutz Ihrer Sitze ohne Werkzeug. Im Lieferumfang sind zwei hochwertige Sitzauflagen enthalten, wobei wir Ihnen empfehlen, die beiliegenden Pflegehinweise für dauerhafte Freude zu beachten.","{""Anzahl der Einheiten"":""2"",""Farbe"":""Schwarz"",""GPSR Manufacturer address"":""Gachedo 15, 38017 Betanzos, A Coruña, Spain"",""GPSR Manufacturer name"":""Deobald Trading GmbH"",""Hersteller/Importeur"":""Deobald Trading GmbH"",""Kategorie"":""Baby > Kinderwagen & Zubehör > Kinderwagenzubehör > Sitzauflagen"",""Marke"":""Upgrade4cars"",""Material"":""Polyester (Oxford)"",""Modell"":""X2 Universal"",""Montage"":""Einfach und schnell"",""Passform"":""Universal"",""Position"":""Vordersitze"",""Produktart"":""Sitzauflage"",""Schmutzabweisend"":""Ja"",""Verpackungssprache"":""Deutsch, Englisch"",""Wasserdichtigkeit"":""Wasserdicht"",""Zustand"":""Neu""}",23.6 EUR,XGA0302D,0
Steambow Bodkinpfeile AR-Serie: 6er Set für höchste Präzision & Durchschlagskraft,Steambow,Sport > Weitere Sportarten > Bogenschießen,SKU-3566484007,91120092210987,Optimale Präzision speziell für Steambow AR-Armbrüste. | Gehärtete Stahlspitzen garantieren maximale Durchschlagskraft. | Konsistente Flugbahn für zuverlässige und präzise Treffer. | Robuste Bauweise sichert eine lange Lebensdauer der Pfeile. | Ideal für intensives Training und anspruchsvollen Sporteinsatz. | Schnelle Einsatzbereitschaft für ein nahtloses Schießerlebnis.,"Dieses Steambow Bodkinpfeile Set wurde speziell für die AR-Serie entwickelt und garantiert höchste Präzision sowie herausragende Leistung für anspruchsvolle Schützen. Jeder der sechs Pfeile ist mit einer gehärteten Stahlspitze ausgestattet, die für beeindruckende Durchschlagskraft und außergewöhnliche Langlebigkeit sorgt.Die robuste Fertigung aus hochwertigem Stahl gewährleistet eine konsistente Flugbahn und optimale Handhabung bei jedem Schuss. Sie erhalten ein praktisches 6er-Set in elegantem Schwarz, perfekt geeignet für intensive Trainingseinheiten oder den sportlichen Einsatz.Diese Pfeile bieten optimale Kompatibilität mit Ihrer Steambow AR-Armbrust und sind sofort einsatzbereit, um Ihnen ein nahtloses Schießerlebnis zu ermöglichen. Für eine lange Lebensdauer und gleichbleibende Leistung empfehlen wir die regelmäßige Überprüfung der Pfeile vor jedem Gebrauch.","{""Anzahl pro Packung"":""6"",""Farbe"":""Schwarz"",""Für Waffentyp"":""Armbrust"",""Geschlecht"":""Unisex"",""Gewicht pro Pfeil"":""10.5 g"",""Gewicht pro Pfeil (Grain)"":""162"",""GPSR Manufacturer name"":""Steambow"",""Kategorie"":""Sport > Weitere Sportarten > Bogenschießen"",""Kompatibilität"":""Steambow AR-Serie"",""Marke"":""Steambow"",""Material"":""Stahl"",""Material Spitze"":""Gehärteter Stahl"",""Produktart"":""Pfeile"",""Sportart"":""Bogenschießen"",""Zielgruppe"":""Erwachsene"",""Zustand"":""Neu""}",23.98 EUR,,0
Topeak Ratchet Rocket Essential Fahrradwerkzeugset für präzise Reparaturen,Topeak,Sammeln & Seltenes > Militaria > NATO-Shop > Werkzeuge & Tools,SKU-3588671475,4710069708958,Kompaktes Design für einfache Mitnahme in jeder Trikottasche. | Präzise Umschalt-Ratsche für schwer zugängliche Stellen am Fahrrad. | Umfassendes 10-teiliges Bit-Set aus robustem Stahl für alle Schraubentypen. | Strapazierfähiges Textil-Transportetui für optimalen Schutz und Organisation. | Ideal für schnelle Reparaturen und Wartung zu Hause oder unterwegs. | Langlebige Materialien für eine lange Nutzungsdauer und höchste Zuverlässigkeit.,"Das Topeak Ratchet Rocket Essential Bit-Ratschenset ist der ideale Begleiter für jeden Fahrradfahrer, der Wert auf schnelle und präzise Reparaturen legt. Es ermöglicht eine effiziente Wartung zu Hause oder unterwegs und passt mühelos in jede Trikottasche. Die feine Umschalt-Ratsche ermöglicht präzises Anziehen und Lösen von Schrauben selbst an schwer zugänglichen Stellen. Das umfassende 10-teilige Bit-Set aus robustem Stahl deckt alle gängigen Schraubentypen ab, von Innensechskant bis Torx und Kreuzschlitz. Im Lieferumfang enthalten sind die hochwertige Ratsche, das vielseitige Bit-Set und ein strapazierfähiges Textil-Transportetui für optimalen Schutz. Dieses langlebige Werkzeugset gewährleistet, dass Sie stets bestens ausgerüstet sind und lange Freude daran haben werden.","{""Anzahl Bits"":""10"",""Anzahl Teile"":""11"",""Anzahl_der_Teile"":""11"",""Artikelnummer"":""TT2628"",""Besonderheiten"":""Kompakt, Tragbar, Mit Etui"",""Einsatzbereich"":""Fahrrad"",""Farbe"":""Schwarz"",""GPSR Manufacturer name"":""Topeak"",""Herstellernummer"":""TT2628"",""Kategorie (General)"":""Garten & Heimwerken > Baumarkt > Werkzeuge > Handwerkzeuge > Multitools"",""Kompatibler_Fahrradtyp"":""Universal"",""Lieferumfang"":""Ratsche, 10-teiliges Bit-Set (2 / 2,5 / 3 / 4 / 5 / 6 mm Innensechskant, T10, T15, T25, PH2), Textil-Transportetui"",""Marke"":""Topeak"",""Material"":""Stahl, Textil"",""Produktart"":""Ratschen-Werkzeug / Multi-Tool (Ratchet)"",""Set"":""Ja"",""Set_enthält"":""Bits, Ratsche, Etui"",""Werkzeugart"":""Ratschen-Werkzeug"",""Zustand"":""Neu (verpackt)""}",29.99 EUR,XGA0102C,1
Mackie HM-4 Kopfhörerverstärker für professionelles 4-Kanal Monitoring,Mackie,"TV, Video & Audio > Heim-Audio & HiFi > Verstärker & Vorverstärker",SKU-3622017850,0663961054064,"Vier unabhängige Ausgänge für simultanes Monitoring mehrerer Nutzer. | Individuelle Lautstärkeregelung pro Kanal für optimalen Sound. | Extrem robuste Bauweise garantiert maximale Zuverlässigkeit im Einsatz. | Kompaktes Design integriert sich platzsparend in jedes Setup. | Kristallklarer Klang für präzises und ermüdungsfreies Hörerlebnis. | Perfekt geeignet für Studio, Bühne und hochwertige Heim-Audio-Anwendungen.","Der Mackie HM-4 Kopfhörerverstärker ermöglicht Musikern und Produzenten, eine einzelne Stereoquelle präzise auf bis zu vier Kopfhörer zu verteilen. Er bietet individuelles Monitoring für jede Person, ideal für Studio, Bühne oder Heim-Audio-Setups.Jeder der vier unabhängigen Ausgänge verfügt über eine präzise Pegelregelung, die ein optimal angepasstes Hörerlebnis sicherstellt. Die extrem robuste ""Built-Like-A-Tank""-Konstruktion aus hochwertigen Materialien garantiert außergewöhnliche Langlebigkeit und Zuverlässigkeit im professionellen Einsatz.Das kompakte und platzsparende Design des HM-4 integriert sich nahtlos in jedes Setup, ohne wertvollen Raum zu beanspruchen. Zum sofortigen Betrieb ist ein passendes 12V DC Netzteil im Lieferumfang enthalten, sodass Sie umgehend von der bewährten Mackie-Qualität profitieren können.","{""Anzahl Kanäle"":""4"",""Bauweise"":""Robust, \""Built-Like-A-Tank\"""",""Besonderheiten"":""Individuelle Lautstärkeregelung"",""Farbe"":""Schwarz"",""GPSR Manufacturer name"":""Mackie"",""Kategorie"":""TV, Video & Audio > Heim-Audio & HiFi > Verstärker & Vorverstärker"",""Marke"":""Mackie"",""Modell"":""HM-4"",""Produktart"":""Kopfhörerverstärker"",""Stromversorgung"":""12V DC"",""Zustand"":""Neu""}",32 EUR,,0
Hansgrohe Waschtischarmatur Vernis Blend 100 Chrom – Spart Wasser mit EcoSmart,Hansgrohe,Heimwerker > Bad & Küche,SKU-3734657776,4059625316207,"Spart bis zu 60% Wasser dank innovativer EcoSmart-Technologie. | Einfache und präzise Bedienung durch den ergonomischen Einhebel. | Integrierte Zugstangen-Ablaufgarnitur für komfortable Handhabung. | Hansgrohe Markenqualität mit umfassender 5-Jahres-Herstellergarantie. | Flexibler Auslauf, um 10° drehbar, für mehr Bewegungsfreiheit. | Vielseitig einsetzbar und kompatibel mit Durchlauferhitzern. | Schnelle und unkomplizierte Installation dank flexibler Anschlussschläuche.","Die Hansgrohe Vernis Blend 100 Waschtischarmatur in Chrom bereichert Ihr Badezimmer mit modernem Design und herausragender Funktionalität. Genießen Sie eine komfortable Bedienung und eine stilvolle Aufwertung, die sich nahtlos in jedes Badambiente einfügt.Diese Armatur ist mit der innovativen EcoSmart-Technologie ausgestattet, die den Wasserverbrauch um bis zu 60% reduziert und somit Umwelt sowie Betriebskosten schont. Ihre hochwertige Metallkonstruktion, die integrierte Zugstangen-Ablaufgarnitur und der um 10° rotierbare Auslauf garantieren zusätzliche Flexibilität und einfache Handhabung.Der Lieferumfang umfasst die Armatur, eine Zugstangen-Ablaufgarnitur sowie flexible G 3/8 Anschlussschläuche für eine unkomplizierte Installation. Hansgrohe steht für bewährte Qualität, die durch eine 5-jährige Herstellergarantie unterstrichen wird und zudem für Durchlauferhitzer geeignet ist.","{""Anschlussgröße"":""G 3/8"",""Anwendungsbereich"":""Waschtisch, Bad"",""Anzahl Griffe"":""Einhebel"",""Armaturtyp"":""Einhebelmischer"",""Farbe"":""Chrom"",""Garantie"":""5 Jahre Herstellergarantie"",""GPSR Manufacturer name"":""Hansgrohe"",""Herstellernummer"":""71551000"",""Kategorie"":""Heimwerker > Bad & Küche"",""Kompatibilität"":""Durchlauferhitzer geeignet"",""Marke"":""Hansgrohe"",""Material"":""Metall"",""Merkmale"":""EcoSmart Wassersparfunktion, Zugstangen-Ablaufgarnitur, 10° drehbarer Auslauf"",""Modell"":""Vernis Blend 100"",""Montageart"":""Standmontage – 1 Hahnloch"",""Oberfläche"":""Glänzend"",""Produktart"":""Waschtischarmatur"",""Serie"":""Vernis Blend"",""Zustand"":""Neu""}",61.89 EUR,,0
HOLMENKOL Oxydstein für Ski & Snowboard - Max. Gleitfähigkeit,HOLMENKOL,Beauty & Gesundheit > Körperpflege,SKU-3783198734,4014701024414,Verbessert Gleitfähigkeit durch effektive Entfernung von Oxidation und Belagshaaren. | Sorgt für maximale Wachsaufnahme und optimale Haftung des Skibelags. | Kompaktes MINI-Format ermöglicht präzise Belagspflege jederzeit und überall. | Verlängert die Lebensdauer Ihrer Wintersportgeräte durch professionelle Pflege. | Unverzichtbares Profi-Werkzeug für konstante Top-Performance auf jeder Piste.,"Optimieren Sie die Performance Ihrer Ski und Snowboards mit dem HOLMENKOL Oxyd MINI Stein. Dieses Präzisionswerkzeug entfernt effektiv Oxidationsschichten und Belagshaare, was die Gleiteigenschaften erheblich verbessert und eine maximale Wachsaufnahme des Belags sicherstellt.Der kompakte MINI-Stein ist aus hochwertigem, langlebigem Material gefertigt und ermöglicht eine präzise sowie effiziente Belagsbearbeitung. Er ist ideal für die schnelle Pflege zu Hause oder unterwegs, um die Lebensdauer Ihrer Wintersportgeräte nachhaltig zu verlängern.Vertrauen Sie auf dieses unverzichtbare Profi-Werkzeug, das von erfahrenen Wintersportlern weltweit für Top-Ergebnisse geschätzt wird. Der Lieferumfang beinhaltet einen HOLMENKOL Oxyd MINI Stein, der Ihnen hilft, stets bestens präpariert auf die Piste zu gehen.","{""Anwendungsbereich"":""Ski- & Snowboardpflege"",""Farbe"":""Rosa"",""GPSR Manufacturer name"":""HOLMENKOL"",""Herstellernummer"":""20561"",""Kategorie"":""Beauty & Gesundheit > Körperpflege"",""Marke"":""HOLMENKOL"",""Modell"":""Oxyd MINI"",""Produktart"":""Oxydstein"",""Sportart/Aktivität"":""Skifahren, Snowboarden"",""Zielgruppe"":""Unisex"",""Zustand"":""Neu""}",9.99 EUR,XSGA0103B,1
Hermès Terre d'Hermès EDT für zeitlose Eleganz Herren 100ml,Hermès,Beauty & Gesundheit > Parfums > Herren,SKU-3818412905,3346130009603,Verleiht dem modernen Mann eine Aura zeitloser Eleganz. | Faszinierende holzig-würzige Komposition mit frischen Zitrusnoten. | Tiefgründige Basis aus edlem Zedernholz und erdigem Vetiver. | Garantiert langanhaltende Duftpräsenz für den gesamten Tag. | Präziser Zerstäuber für luxuriöse und gleichmäßige Duftverteilung. | Repräsentiert höchste französische Parfümkunst von Hermès.,"Das Hermès Terre d'Hermès Eau de Toilette verkörpert eine zeitlose Eleganz für den modernen, selbstbewussten Mann. Dieser markante Duft hinterlässt bei jedem Anlass einen unvergesslichen Eindruck und unterstreicht Ihre natürliche Präsenz.Die holzig-würzige Duftkomposition vereint erfrischende Zitrusnoten mit mineralischen Akzenten, abgerundet durch tiefgründiges Zedernholz und Vetiver. Seine langanhaltende Formulierung sorgt für eine subtile, aber beständige Präsenz über viele Stunden hinweg.Sie erhalten ein Original Hermès Eau de Toilette in der 100 ml Sprühflasche, welches höchste Parfümkunst aus Frankreich repräsentiert. Der integrierte Zerstäuber gewährleistet eine feine und gleichmäßige Anwendung für eine optimale Duftentfaltung.","{""Alkoholgehalt"":""78% vol."",""Besonderheiten"":""Zerstäuber"",""Duftfamilie"":""Holzig-Würzig"",""Duftname"":""Terre d'Hermès"",""Formulierung"":""Spray"",""Geschlecht"":""Herren"",""GPSR Manufacturer address"":""23, rue Boissy d'Anglas. 75008 Paris"",""GPSR Manufacturer name"":""Hermès Parfums"",""Herstellernummer"":""107188VQ"",""Herstellungsland"":""Frankreich"",""Kategorie"":""Beauty & Gesundheit > Parfums > Herren"",""Marke"":""Hermès"",""Personalisieren"":""Nein"",""Produktart"":""Eau de Toilette"",""Vintage"":""Nein"",""Volumen"":""100 ml"",""Zustand"":""Neu""}",69.49 EUR,,0
Success Courier Pumpensteuerung DSK-1: Konstanter Druck & Trockenlaufschutz,Success Courier,"Business & Industrie > Hydraulik, Pneumatik & Pumpen > Strömungswächter & Steuerungen > Pumpensteuerungen",SKU-3963918245,6431619024,Konstanter Wasserdruck für optimalen Komfort. | Zuverlässiger Schutz vor schädlichem Trockenlauf der Pumpe. | Deutliche Verlängerung der Lebensdauer Ihrer Wasserpumpe. | Einfache und schnelle Installation durch Standardanschlüsse. | Robustes IP65-Gehäuse für maximale Wetterbeständigkeit. | Klare Statusanzeigen zur einfachen Betriebsüberwachung.,"Die Success Courier Pumpensteuerung DSK-1 gewährleistet stets optimalen Wasserdruck und schützt Ihre Pumpe effektiv vor Trockenlauf. Dies steigert den Wohnkomfort erheblich und verlängert gleichzeitig die Lebensdauer Ihrer gesamten Anlage spürbar.Das robuste Kunststoffgehäuse mit IP65-Schutzart ermöglicht einen sicheren und langlebigen Einsatz in anspruchsvollen Umgebungen. Die einfache Installation erfolgt über genormte 1-Zoll-Anschlüsse sowie eine praktische Schuko-Stecker- und -Kupplungsverbindung.Im Lieferumfang ist die Success Courier Pumpensteuerung DSK-1 enthalten, bereit für den sofortigen Einsatz. Für alle weiteren Fragen oder bei Bedarf steht Ihnen unser engagierter Kundenservice jederzeit gerne zur Verfügung.","{""Anschlussgewinde"":""1 Zoll Außengewinde"",""Einsatzbereich"":""Haus- und Gartenwasserpumpen"",""Farbe"":""Blau"",""Frequenz"":""50-60 Hz"",""GPSR Manufacturer address"":""SUCCESS COURIER SL, Fuenlabrada, Madrid, Spanien"",""GPSR Manufacturer name"":""Success Courier"",""Herstellernummer"":""DSK-1"",""Herstellungsland"":""Spanien"",""Kategorie"":""Business & Industrie > Hydraulik, Pneumatik & Pumpen > Strömungswächter & Steuerungen > Pumpensteuerungen"",""Marke"":""Success Courier"",""Material"":""Kunststoff"",""Max. Betriebsdruck"":""10 bar"",""Max. Betriebstemperatur"":""60 °C"",""Max. Motorleistung"":""1.1 kW"",""Max. Stromstärke"":""10 A"",""Modell"":""DSK-1"",""Netzanschluss"":""230 V, Schuko-Stecker und Schuko-Kupplung"",""Produktart"":""Pumpensteuerung"",""Schutzart"":""IP65"",""Spannung"":""220-240 V""}",45 EUR,XGA0101B,2
